hypothesis,model,asset_setup,ips_pass,ips_objective,return_pa,vol_pa,max_dd,sharpe,calmar,n_signals_fired,threshold,taa_band,risk_aversion,bl_tau,regime_view_scale,status
h1,xgb_transformer,ips_available,2,1027.5790036525088,0.08991586060536,0.1009535480060193,-0.2573761745622148,0.7061191309286114,0.3493558048187749,53,0.55,0.5,4.0,0.05,0.5,keep
h1,xgb_lstm,policy_plus_jpy,2,1027.6284204381527,0.0691051705818288,0.0951606219387918,-0.2393339236063926,0.5400931546534535,0.2887395549302859,61,0.5,0.5,4.0,0.05,0.5,discard
h1,xgb_transformer,policy_plus_bitcoin,2,1029.0069871265875,0.0931787887469044,0.1003209490237657,-0.2664638554945074,0.7395896705893549,0.3496864089652305,61,0.5,0.5,4.0,0.05,0.5,keep
h1,xgb_transformer,policy_plus_bitcoin,2,1029.13581366661,0.0918970829136118,0.1003275085906983,-0.2664638554945071,0.7278474685262741,0.3448763538419425,53,0.55,0.5,4.0,0.05,0.5,discard
h1,xgb_lstm,ips_available,2,1032.1191080228025,0.0934540222641366,0.1015509887970123,-0.2815470568475734,0.7343786076257478,0.3319303824750393,73,0.45,0.5,4.0,0.05,0.5,keep
h1,xgb_lstm,ips_available,2,1032.1191080228025,0.0934540222641366,0.1015509887970123,-0.2815470568475734,0.7343786076257478,0.3319303824750393,73,0.45,0.75,4.0,0.05,0.5,discard
h1,xgb_lstm,ips_available,2,1032.1191080228025,0.0934540222641366,0.1015509887970123,-0.2815470568475734,0.7343786076257478,0.3319303824750393,73,0.45,1.0,4.0,0.05,0.5,discard
h1,xgb_lstm,ips_available,2,1035.5282883810794,0.0917197763569428,0.103643069726171,-0.2966797952207826,0.7068098135067765,0.3091541043052392,45,0.6,0.5,4.0,0.05,0.5,discard
h1,xgb_lstm,ips_available,2,1035.5282883810794,0.0917197763569428,0.103643069726171,-0.2966797952207826,0.7068098135067765,0.3091541043052392,45,0.6,0.75,4.0,0.05,0.5,discard
h1,xgb_lstm,ips_available,2,1035.5282883810794,0.0917197763569428,0.103643069726171,-0.2966797952207826,0.7068098135067765,0.3091541043052392,45,0.6,1.0,4.0,0.05,0.5,discard
h3,xgb_transformer,ips_available,2,1037.301395918652,0.0883223818913836,0.102607279510037,-0.3043645307839323,0.6825302081221654,0.2901861845199153,49,0.55,0.5,4.0,0.05,0.5,keep
h4,xgb_transformer,ips_available,2,1037.354846656371,0.0898571699635881,0.102406448540737,-0.3054995939932796,0.6974465372988498,0.2941318801411069,11,0.55,0.5,4.0,0.05,0.5,keep
h4,xgb_lstm,ips_available,2,1037.5356617740845,0.0882613942785226,0.102618824032808,-0.3054995939932796,0.681925609729872,0.2889083848683092,11,0.55,0.5,4.0,0.05,0.5,keep
h2,xgb_transformer,ips_available,2,1038.2901261551956,0.0897584379520559,0.1116605115174535,-0.3054995939932795,0.6477621125801355,0.2938086980044578,47,0.55,0.5,4.0,0.05,0.5,keep
h2,xgb_lstm,ips_available,2,1038.783476668668,0.0938797041088517,0.1128305107629493,-0.3094419800162913,0.6756746633818635,0.3033838657053228,47,0.55,0.5,4.0,0.05,0.5,keep
h3,xgb_lstm,ips_available,2,1038.9719680557616,0.0828878155657451,0.101484612421273,-0.3105614418510444,0.639603986502665,0.2668966729150518,49,0.55,0.5,4.0,0.05,0.5,keep
h1,xgb_lstm,policy_core,1,2030.6167280374643,0.0677892911642801,0.0964470301643846,-0.2576494162694095,0.5215733353050933,0.2631067135560542,53,0.55,0.5,4.0,0.05,0.5,keep
h1,xgb_lstm,policy_core,1,2030.8583660708791,0.0663964376476615,0.0960777034652966,-0.2576494162694089,0.509618063762581,0.2577007105587023,61,0.5,0.5,4.0,0.05,0.5,keep
h1,xgb_transformer,policy_plus_jpy,1,2032.1919285813128,0.0659325830390957,0.0967651181494692,-0.2635096668709262,0.502203617241841,0.2502093521729934,53,0.55,0.5,4.0,0.05,0.5,discard
h1,xgb_transformer,policy_plus_jpy,1,2032.297536106008,0.0651258642488663,0.0962077558159572,-0.2635096668709261,0.4966807951199797,0.2471479131001546,61,0.5,0.5,4.0,0.05,0.5,discard
h1,xgb_transformer,policy_core,1,2038.1307390493937,0.0639417991278641,0.1003902173996885,-0.2894003856749891,0.4695155552209545,0.2209457979080716,53,0.55,0.5,4.0,0.05,0.5,keep
h1,xgb_transformer,policy_core,1,2038.3199135423577,0.0627216235374605,0.0998416111485206,-0.2894003856749897,0.4600486950777181,0.2167295782663535,61,0.5,0.5,4.0,0.05,0.5,keep
